Asset Name,CV Average R^2,CV R^2 Scores,Robust Beta Coefficient,Robust Intercept
gold,-0.021856107560446425,[-0.00903586 -0.00276761  0.00325153 -0.00395823 -0.09677036],-0.26912270924295145,0.007572130342497048
TIP,-0.057410473809014165,[-0.01506973 -0.12256388  0.00077149 -0.12294959 -0.02724066],-0.15787154073839155,0.0037671210963398215
VNQ,-0.02604466268598351,[-0.06869536 -0.02525397 -0.04363198  0.00645751  0.00090048],-1.1747455822953439,0.013812312687530765
^GSPC,-0.12284416197265231,[-0.29612785 -0.08412788 -0.02755923 -0.0710047  -0.13540115],0.0006030801652459702,0.010070867948385343
